,n_dimensions,n_iteration,loss,val_loss,time_sample,time_define,time_train
0,1,0,-0.003297069116816738,-0.004251565069263552,2.315002202987671,0.027105093002319336,210.92231249809265
1,1,1,-0.019673838534950232,-0.003437226595804088,2.317260503768921,0.02698349952697754,212.32660579681396
2,1,2,-0.01176557114016491,0.03100487772525201,2.275818109512329,0.02681112289428711,214.06721448898315
3,1,3,-0.002415453664191133,-0.012544025237399933,2.302997589111328,0.026753664016723633,213.32009983062744
4,1,4,-0.020519823644899456,-0.012033899838596512,2.2386012077331543,0.02681708335876465,208.6300139427185
5,1,5,-0.017817809834284524,-0.01923586605608485,2.2358131408691406,0.026788711547851562,208.96688175201416
6,1,6,-0.005928808464198871,-0.0015726846773911618,2.2804083824157715,0.02671074867248535,208.75112771987915
7,1,7,0.0014243677907317793,0.004336813550076396,2.3038363456726074,0.027702808380126953,210.58838844299316
8,1,8,0.004573760529946639,-0.018153635668350362,2.3024282455444336,0.027445554733276367,209.44476079940796
9,1,9,-0.0008736279356532721,0.036101042791550575,2.249753475189209,0.02686929702758789,208.15032505989075
10,2,0,-0.016763105376068708,0.011098255640907578,2.284252166748047,0.02762293815612793,215.63869905471802
11,2,1,-0.024955900840697067,-0.006438889627811528,2.4084787368774414,0.027293920516967773,217.4769628047943
12,2,2,-0.013852214950477566,-0.008082612475497408,2.3599977493286133,0.02749776840209961,215.77708220481873
13,2,3,0.0018304862574897013,-0.05589798629249981,2.3016738891601562,0.026726722717285156,214.17353057861328
14,2,4,-0.014192474323900924,0.00828252843049923,2.258118152618408,0.026763439178466797,217.67166352272034
15,2,5,-0.031068042858775242,0.05665231084284733,2.3193018436431885,0.02750873565673828,215.04978132247925
16,2,6,-0.009971669731855475,0.006719955756072649,2.2822935581207275,0.02814483642578125,215.54570603370667
17,2,7,0.0006534867586745466,-0.02850766641442601,2.3509857654571533,0.028825998306274414,214.07091689109802
18,2,8,-0.021600246434767184,0.019104942955737975,2.2397565841674805,0.02680826187133789,215.6780228614807
19,2,9,-0.01897422812905221,-0.008619650260301787,2.314009189605713,0.027173757553100586,215.2288429737091
20,3,0,-0.03684602153851976,-0.010368712336306485,2.3252408504486084,0.027118444442749023,217.65515398979187
21,3,1,-0.021007797067470985,0.00909307659701486,2.2947940826416016,0.027124404907226562,217.03638744354248
22,3,2,-0.028984261906997988,-0.017465320938523377,2.3341195583343506,0.027653217315673828,218.3714473247528
23,3,3,-0.03440459958433511,0.057713956690365775,2.3161439895629883,0.027016162872314453,215.65740513801575
24,3,4,-0.04543599436215093,0.07262984205876005,2.335675001144409,0.027362585067749023,217.1701202392578
25,3,5,-0.023205060621046946,-0.025865886405607608,2.3161778450012207,0.02700638771057129,215.4173982143402
26,3,6,-0.044783344550638156,0.017695638485378473,2.2712090015411377,0.026836156845092773,216.64994430541992
27,3,7,-0.044562135795378384,0.026869940304561246,2.32395076751709,0.02730393409729004,218.15532660484314
28,3,8,-0.04391440931721061,0.052198208757648024,2.2954001426696777,0.02679753303527832,216.07554507255554
29,3,9,-0.01728941606478857,-0.002006917561663324,2.3392679691314697,0.027532100677490234,214.1467399597168
30,4,0,-0.08908552135398466,0.09580203017876743,2.3264126777648926,0.026807785034179688,217.2713541984558
31,4,1,-0.06386849310750617,0.014444184457943876,2.309739112854004,0.026699542999267578,217.62165141105652
32,4,2,-0.07359174081669048,-0.026187798878119894,2.336622476577759,0.02692389488220215,215.56545448303223
33,4,3,-0.05962491776007221,-0.035657993220472306,2.296908378601074,0.027086734771728516,215.36796951293945
34,4,4,-0.08547331031276727,-0.02053312951625197,2.2878148555755615,0.02736377716064453,218.10348463058472
35,4,5,-0.08403068073911305,-0.02804846780866277,2.34515118598938,0.027811527252197266,216.5895767211914
36,4,6,-0.09806321752456469,0.004597601766879178,2.2956581115722656,0.026735782623291016,217.62725567817688
37,4,7,-0.05926988821993139,0.0813407635258051,2.321990728378296,0.026798009872436523,217.14652395248413
38,4,8,-0.07165581037333944,0.04893970243459578,2.2859394550323486,0.026710987091064453,217.9459674358368
39,4,9,-0.08290409638508296,0.10224032157408547,2.3006808757781982,0.026928424835205078,217.3134253025055
40,5,0,-0.12431694763506441,-0.009314194181515578,2.2977283000946045,0.02692437171936035,218.95028805732727
41,5,1,-0.12242784049305844,0.16215220665273766,2.3564603328704834,0.027124881744384766,214.85061717033386
42,5,2,-0.12319729259851617,0.13360019824968672,2.3815524578094482,0.027599573135375977,219.2240128517151
43,5,3,-0.13014522071704607,0.04152538687630558,2.3789238929748535,0.027208328247070312,215.79127478599548
44,5,4,-0.13826252490517776,0.09991880673556325,2.3143386840820312,0.026888132095336914,216.97469925880432
45,5,5,-0.1219779503338314,0.059838821509496154,2.4488613605499268,0.029436588287353516,214.99642419815063
46,5,6,-0.12589414333082408,0.10549537005828802,2.3593528270721436,0.02762436866760254,217.80154013633728
47,5,7,-0.13049628162823254,0.06120599763939244,2.3168108463287354,0.02719259262084961,217.40251278877258
48,5,8,-0.12075653669919778,0.15965287064697886,2.3207390308380127,0.02698206901550293,215.95510387420654
49,5,9,-0.10717625984917932,0.07264916778132324,2.297912359237671,0.026633501052856445,215.64710187911987
50,6,0,-0.2057163018752171,0.20242674751438283,2.2803616523742676,0.026987075805664062,218.5279335975647
51,6,1,-0.18149192896204897,0.28068753175151984,2.290261745452881,0.026911258697509766,217.1827793121338
52,6,2,-0.1773400833376476,0.14018229381041758,2.3538119792938232,0.026738882064819336,216.98351383209229
53,6,3,-0.21172059667429066,0.10718057865221176,2.3512606620788574,0.02704334259033203,217.7503433227539
54,6,4,-0.19007274238549035,0.18929050254564317,2.324110269546509,0.02681732177734375,217.22828459739685
55,6,5,-0.18667968806212204,0.18224083397564794,2.3051843643188477,0.02767181396484375,217.013414144516
56,6,6,-0.1921711275007501,-0.039433195488414396,2.3298792839050293,0.026879072189331055,218.2920696735382
57,6,7,-0.17641403595443036,0.1772861308374355,2.366908311843872,0.027474164962768555,216.02281403541565
58,6,8,-0.19410753088114457,0.19056387162215727,2.319096088409424,0.02731466293334961,217.25213408470154
59,6,9,-0.20839032411324326,0.21540902095818182,2.3161184787750244,0.026831388473510742,216.33255457878113
60,7,0,-0.2631730852003256,0.2156098756458601,2.4319212436676025,0.029361248016357422,218.51300764083862
61,7,1,-0.24658893025153936,0.33965659964441997,2.3733034133911133,0.02723240852355957,218.96502256393433
62,7,2,-0.2753290887734815,0.2946298796140371,2.333486795425415,0.02728867530822754,220.9225471019745
63,7,3,-0.25371445018431843,0.3017819925061076,2.327660322189331,0.0266571044921875,218.8503019809723
64,7,4,-0.2760092807559175,0.36975810799144104,2.385038137435913,0.027662992477416992,218.6939628124237
65,7,5,-0.25417300172638146,0.34363947301407094,2.373779296875,0.029221773147583008,216.62377882003784
66,7,6,-0.2513139573012139,0.35468270948335123,2.3784308433532715,0.027626752853393555,220.5447883605957
67,7,7,-0.2764427514948034,0.3324143133951125,2.3808653354644775,0.027000904083251953,219.11773896217346
68,7,8,-0.2773500488731392,0.30084136369500447,2.3265719413757324,0.02714395523071289,220.85445618629456
69,7,9,-0.22257705945435347,0.12742780672945364,2.393141269683838,0.02748703956604004,217.6401867866516
70,8,0,-0.3467847501563304,0.3511904035297133,2.44688081741333,0.028476715087890625,219.70636081695557
71,8,1,-0.3229161823646133,0.286828813749068,2.3253374099731445,0.02673792839050293,218.21194505691528
72,8,2,-0.34645761976536327,0.5373521059246814,2.3398849964141846,0.026795625686645508,219.8054358959198
73,8,3,-0.3050626767402728,0.3996697635490265,2.3695144653320312,0.027144193649291992,218.15640330314636
74,8,4,-0.3154920548683013,0.45700839474641275,2.3648335933685303,0.02683424949645996,220.72196674346924
75,8,5,-0.21966618771647137,0.49297797280925393,2.3259713649749756,0.026695966720581055,217.5500078201294
76,8,6,-0.3345706369870966,0.35994228673408835,2.3137741088867188,0.026998043060302734,218.2799413204193
